regiao;estado;data;casosNovos;casosAcumulados;obitosNovos;obitosAcumulados
Norte;RO;2020-03-20;1.0;1;0.0;0
Norte;RO;2020-03-21;0.0;1;0.0;0
Norte;RO;2020-03-22;2.0;3;0.0;0
Norte;RO;2020-03-23;0.0;3;0.0;0
Norte;RO;2020-03-24;0.0;3;0.0;0
Norte;RO;2020-03-25;2.0;5;0.0;0
Norte;RO;2020-03-26;0.0;5;0.0;0
Norte;RO;2020-03-27;1.0;6;0.0;0
Norte;RO;2020-03-28;6.0;12;0.0;0
Norte;RO;2020-03-29;0.0;12;0.0;0
Norte;RO;2020-03-30;0.0;12;0.0;0
Norte;RO;2020-03-31;4.0;16;2.0;2
Norte;RO;2020-04-01;2.0;18;0.0;2
Norte;RO;2020-04-02;2.0;20;0.0;2
Norte;RO;2020-04-03;0.0;20;0.0;2
Norte;RO;2020-04-04;2.0;22;0.0;2
Norte;RO;2020-04-05;2.0;24;0.0;2
Norte;RO;2020-04-06;4.0;28;0.0;2
Norte;RO;2020-04-07;8.0;36;0.0;2
Norte;RO;2020-04-08;8.0;44;0.0;2
Norte;RO;2020-04-09;12.0;56;2.0;4
Norte;RO;2020-04-10;8.0;64;0.0;4
Norte;RO;2020-04-11;2.0;66;0.0;4
Norte;RO;2020-04-12;4.0;70;0.0;4
Norte;RO;2020-04-13;14.0;84;0.0;4
Norte;RO;2020-04-14;44.0;128;0.0;4
Norte;RO;2020-04-15;10.0;138;0.0;4
Norte;RO;2020-04-16;14.0;152;2.0;6
Norte;RO;2020-04-17;32.0;184;0.0;6
Norte;RO;2020-04-18;36.0;220;0.0;6
Norte;RO;2020-04-19;36.0;256;2.0;8
Norte;RO;2020-04-20;64.0;320;0.0;8
Norte;RO;2020-04-21;78.0;398;0.0;8
Norte;RO;2020-04-22;48.0;446;2.0;10
Norte;RO;2020-04-23;54.0;500;0.0;10
Norte;RO;2020-04-24;80.0;580;0.0;10
Norte;RO;2020-04-25;76.0;656;4.0;14
Norte;RO;2020-04-26;72.0;728;6.0;20
Norte;RO;2020-04-27;58.0;786;0.0;20
Norte;RO;2020-04-28;40.0;826;2.0;22
Norte;RO;2020-04-29;40.0;866;8.0;30
Norte;RO;2020-04-30;138.0;1004;2.0;32
Norte;RO;2020-05-01;166.0;1170;4.0;36
Norte;RO;2020-05-02;136.0;1306;10.0;46
Norte;RO;2020-05-03;104.0;1410;2.0;48
Norte;RO;2020-05-04;102.0;1512;2.0;50
Norte;RO;2020-05-05;210.0;1722;8.0;58
Norte;RO;2020-05-06;164.0;1886;8.0;66
Norte;RO;2020-05-07;310.0;2196;8.0;74
Norte;RO;2020-05-08;248.0;2444;4.0;78
Norte;RO;2020-05-09;82.0;2526;4.0;82
Norte;RO;2020-05-10;78.0;2604;4.0;86
Norte;RO;2020-05-11;188.0;2792;8.0;94
Norte;RO;2020-05-12;128.0;2920;6.0;100
Norte;RO;2020-05-13;304.0;3224;0.0;100
Norte;RO;2020-05-14;148.0;3372;12.0;112
Norte;RO;2020-05-15;206.0;3578;12.0;124
Norte;RO;2020-05-16;260.0;3838;14.0;138
Norte;RO;2020-05-17;88.0;3926;10.0;148
Norte;RO;2020-05-18;160.0;4086;6.0;154
Norte;RO;2020-05-19;428.0;4514;20.0;174
Norte;RO;2020-05-20;484.0;4998;6.0;180
Norte;RO;2020-05-21;320.0;5318;22.0;202
Norte;RO;2020-05-22;230.0;5548;10.0;212
Norte;RO;2020-05-23;670.0;6218;18.0;230
Norte;RO;2020-05-24;184.0;6402;11.0;241
Norte;RO;2020-05-25;134.0;6536;1.0;242
Norte;RO;2020-05-26;450.0;6986;24.0;266
Norte;AC;2020-03-19;3.0;3;0.0;0
Norte;AC;2020-03-20;4.0;7;0.0;0
Norte;AC;2020-03-21;2.0;9;0.0;0
Norte;AC;2020-03-22;2.0;11;0.0;0
Norte;AC;2020-03-23;0.0;11;0.0;0
Norte;AC;2020-03-24;6.0;17;0.0;0
Norte;AC;2020-03-25;6.0;23;0.0;0
Norte;AC;2020-03-26;1.0;24;0.0;0
Norte;AC;2020-03-27;1.0;25;0.0;0
Norte;AC;2020-03-28;25.0;50;0.0;0
Norte;AC;2020-03-29;18.0;68;0.0;0
Norte;AC;2020-03-30;16.0;84;0.0;0
Norte;AC;2020-03-31;0.0;84;0.0;0
Norte;AC;2020-04-01;2.0;86;0.0;0
Norte;AC;2020-04-02;0.0;86;0.0;0
Norte;AC;2020-04-03;6.0;92;0.0;0
Norte;AC;2020-04-04;0.0;92;0.0;0
Norte;AC;2020-04-05;4.0;96;0.0;0
Norte;AC;2020-04-06;4.0;100;0.0;0
Norte;AC;2020-04-07;0.0;100;2.0;2
Norte;AC;2020-04-08;8.0;108;2.0;4
Norte;AC;2020-04-09;16.0;124;0.0;4
Norte;AC;2020-04-10;16.0;140;0.0;4
Norte;AC;2020-04-11;4.0;144;0.0;4
Norte;AC;2020-04-12;10.0;154;0.0;4
Norte;AC;2020-04-13;26.0;180;2.0;6
Norte;AC;2020-04-14;18.0;198;0.0;6
Norte;AC;2020-04-15;4.0;202;0.0;6
Norte;AC;2020-04-16;18.0;220;4.0;10
Norte;AC;2020-04-17;50.0;270;0.0;10
Norte;AC;2020-04-18;14.0;284;0.0;10
Norte;AC;2020-04-19;42.0;326;2.0;12
Norte;AC;2020-04-20;26.0;352;4.0;16
Norte;AC;2020-04-21;38.0;390;0.0;16
Norte;AC;2020-04-22;38.0;428;0.0;16
Norte;AC;2020-04-23;26.0;454;4.0;20
Norte;AC;2020-04-24;14.0;468;2.0;22
Norte;AC;2020-04-25;48.0;516;0.0;22
Norte;AC;2020-04-26;42.0;558;0.0;22
Norte;AC;2020-04-27;22.0;580;6.0;28
Norte;AC;2020-04-28;42.0;622;4.0;32
Norte;AC;2020-04-29;86.0;708;2.0;34
Norte;AC;2020-04-30;100.0;808;4.0;38
Norte;AC;2020-05-01;164.0;972;0.0;38
Norte;AC;2020-05-02;134.0;1106;5.0;43
Norte;AC;2020-05-03;208.0;1314;5.0;48
Norte;AC;2020-05-04;152.0;1466;8.0;56
Norte;AC;2020-05-05;168.0;1634;2.0;58
Norte;AC;2020-05-06;252.0;1886;8.0;66
Norte;AC;2020-05-07;142.0;2028;6.0;72
Norte;AC;2020-05-08;326.0;2354;4.0;76
Norte;AC;2020-05-09;316.0;2670;2.0;78
Norte;AC;2020-05-10;224.0;2894;4.0;82
Norte;AC;2020-05-11;26.0;2920;8.0;90
Norte;AC;2020-05-12;260.0;3180;12.0;102
Norte;AC;2020-05-13;208.0;3388;2.0;104
Norte;AC;2020-05-14;92.0;3480;6.0;110
Norte;AC;2020-05-15;90.0;3570;4.0;114
Norte;AC;2020-05-16;164.0;3734;4.0;118
Norte;AC;2020-05-17;260.0;3994;2.0;120
Norte;AC;2020-05-18;474.0;4468;14.0;134
Norte;AC;2020-05-19;496.0;4964;10.0;144
Norte;AC;2020-05-20;670.0;5634;8.0;152
Norte;AC;2020-05-21;572.0;6206;4.0;156
Norte;AC;2020-05-22;480.0;6686;4.0;160
Norte;AC;2020-05-23;1048.0;7734;14.0;174
Norte;AC;2020-05-24;586.0;8320;10.0;184
Norte;AC;2020-05-25;682.0;9002;10.0;194
Norte;AC;2020-05-26;560.0;9562;16.0;210
Norte;AM;2020-03-15;1.0;1;0.0;0
Norte;AM;2020-03-16;0.0;1;0.0;0
Norte;AM;2020-03-17;0.0;1;0.0;0
Norte;AM;2020-03-18;0.0;1;0.0;0
Norte;AM;2020-03-19;2.0;3;0.0;0
Norte;AM;2020-03-20;0.0;3;0.0;0
Norte;AM;2020-03-21;8.0;11;0.0;0
Norte;AM;2020-03-22;15.0;26;0.0;0
Norte;AM;2020-03-23;6.0;32;0.0;0
Norte;AM;2020-03-24;15.0;47;0.0;0
Norte;AM;2020-03-25;7.0;54;1.0;1
Norte;AM;2020-03-26;13.0;67;0.0;1
Norte;AM;2020-03-27;14.0;81;0.0;1
Norte;AM;2020-03-28;141.0;222;1.0;2
Norte;AM;2020-03-29;58.0;280;0.0;2
Norte;AM;2020-03-30;22.0;302;0.0;2
Norte;AM;2020-03-31;48.0;350;4.0;6
Norte;AM;2020-04-01;50.0;400;0.0;6
Norte;AM;2020-04-02;58.0;458;0.0;6
Norte;AM;2020-04-03;62.0;520;8.0;14
Norte;AM;2020-04-04;102.0;622;10.0;24
Norte;AM;2020-04-05;212.0;834;4.0;28
Norte;AM;2020-04-06;230.0;1064;10.0;38
Norte;AM;2020-04-07;208.0;1272;8.0;46
Norte;AM;2020-04-08;336.0;1608;14.0;60
Norte;AM;2020-04-09;190.0;1798;20.0;80
Norte;AM;2020-04-10;164.0;1962;20.0;100
Norte;AM;2020-04-11;138.0;2100;6.0;106
Norte;AM;2020-04-12;312.0;2412;18.0;124
Norte;AM;2020-04-13;138.0;2550;18.0;142
Norte;AM;2020-04-14;418.0;2968;38.0;180
Norte;AM;2020-04-15;140.0;3108;32.0;212
Norte;AM;2020-04-16;330.0;3438;36.0;248
Norte;AM;2020-04-17;180.0;3618;42.0;290
Norte;AM;2020-04-18;176.0;3794;32.0;322
Norte;AM;2020-04-19;294.0;4088;42.0;364
Norte;AM;2020-04-20;232.0;4320;6.0;370
Norte;AM;2020-04-21;220.0;4540;16.0;386
Norte;AM;2020-04-22;418.0;4958;28.0;414
Norte;AM;2020-04-23;818.0;5776;54.0;468
Norte;AM;2020-04-24;612.0;6388;42.0;510
Norte;AM;2020-04-25;882.0;7270;64.0;574
Norte;AM;2020-04-26;396.0;7666;34.0;608
Norte;AM;2020-04-27;190.0;7856;32.0;640
Norte;AM;2020-04-28;818.0;8674;62.0;702
Norte;AM;2020-04-29;928.0;9602;58.0;760
Norte;AM;2020-04-30;906.0;10508;90.0;850
Norte;AM;2020-05-01;938.0;11446;102.0;952
Norte;AM;2020-05-02;678.0;12124;50.0;1002
Norte;AM;2020-05-03;1242.0;13366;94.0;1096
Norte;AM;2020-05-04;1118.0;14484;72.0;1168
Norte;AM;2020-05-05;1734.0;16218;130.0;1298
Norte;AM;2020-05-06;2268.0;18486;204.0;1502
Norte;AM;2020-05-07;1712.0;20198;110.0;1612
Norte;AM;2020-05-08;1256.0;21454;136.0;1748
Norte;AM;2020-05-09;2396.0;23850;176.0;1924
Norte;AM;2020-05-10;1348.0;25198;84.0;2008
Norte;AM;2020-05-11;640.0;25838;62.0;2070
Norte;AM;2020-05-12;2498.0;28336;126.0;2196
Norte;AM;2020-05-13;3296.0;31632;124.0;2320
Norte;AM;2020-05-14;2730.0;34362;150.0;2470
Norte;AM;2020-05-15;2422.0;36784;192.0;2662
Norte;AM;2020-05-16;2570.0;39354;88.0;2750
Norte;AM;2020-05-17;1302.0;40656;76.0;2826
Norte;AM;2020-05-18;1170.0;41826;40.0;2866
Norte;AM;2020-05-19;2438.0;44264;116.0;2982
Norte;AM;2020-05-20;3144.0;47408;140.0;3122
Norte;AM;2020-05-21;3326.0;50734;118.0;3240
Norte;AM;2020-05-22;3342.0;54076;98.0;3338
Norte;AM;2020-05-23;3528.0;57604;150.0;3488
Norte;AM;2020-05-24;2130.0;59734;28.0;3516
Norte;AM;2020-05-25;830.0;60564;46.0;3562
Norte;AM;2020-05-26;3334.0;63898;142.0;3704
Norte;RR;2020-03-22;2.0;2;0.0;0
Norte;RR;2020-03-23;0.0;2;0.0;0
Norte;RR;2020-03-24;0.0;2;0.0;0
Norte;RR;2020-03-25;6.0;8;0.0;0
Norte;RR;2020-03-26;0.0;8;0.0;0
Norte;RR;2020-03-27;2.0;10;0.0;0
Norte;RR;2020-03-28;14.0;24;0.0;0
Norte;RR;2020-03-29;8.0;32;0.0;0
Norte;RR;2020-03-30;0.0;32;0.0;0
Norte;RR;2020-03-31;0.0;32;0.0;0
Norte;RR;2020-04-01;12.0;44;0.0;0
Norte;RR;2020-04-02;8.0;52;0.0;0
Norte;RR;2020-04-03;8.0;60;0.0;0
Norte;RR;2020-04-04;14.0;74;2.0;2
Norte;RR;2020-04-05;10.0;84;0.0;2
Norte;RR;2020-04-06;0.0;84;0.0;2
Norte;RR;2020-04-07;0.0;84;0.0;2
Norte;RR;2020-04-08;14.0;98;0.0;2
Norte;RR;2020-04-09;6.0;104;0.0;2
Norte;RR;2020-04-10;22.0;126;4.0;6
Norte;RR;2020-04-11;24.0;150;0.0;6
Norte;RR;2020-04-12;8.0;158;0.0;6
Norte;RR;2020-04-13;8.0;166;0.0;6
Norte;RR;2020-04-14;60.0;226;0.0;6
Norte;RR;2020-04-15;2.0;228;0.0;6
Norte;RR;2020-04-16;56.0;284;0.0;6
Norte;RR;2020-04-17;44.0;328;0.0;6
Norte;RR;2020-04-18;74.0;402;0.0;6
Norte;RR;2020-04-19;42.0;444;0.0;6
Norte;RR;2020-04-20;44.0;488;0.0;6
Norte;RR;2020-04-21;6.0;494;0.0;6
Norte;RR;2020-04-22;66.0;560;0.0;6
Norte;RR;2020-04-23;34.0;594;0.0;6
Norte;RR;2020-04-24;14.0;608;0.0;6
Norte;RR;2020-04-25;82.0;690;0.0;6
Norte;RR;2020-04-26;112.0;802;2.0;8
Norte;RR;2020-04-27;12.0;814;0.0;8
Norte;RR;2020-04-28;36.0;850;4.0;12
Norte;RR;2020-04-29;54.0;904;0.0;12
Norte;RR;2020-04-30;134.0;1038;2.0;14
Norte;RR;2020-05-01;166.0;1204;2.0;16
Norte;RR;2020-05-02;132.0;1336;2.0;18
Norte;RR;2020-05-03;144.0;1480;4.0;22
Norte;RR;2020-05-04;132.0;1612;0.0;22
Norte;RR;2020-05-05;126.0;1738;0.0;22
Norte;RR;2020-05-06;126.0;1864;4.0;26
Norte;RR;2020-05-07;176.0;2040;2.0;28
Norte;RR;2020-05-08;208.0;2248;4.0;32
Norte;RR;2020-05-09;156.0;2404;4.0;36
Norte;RR;2020-05-10;176.0;2580;6.0;42
Norte;RR;2020-05-11;10.0;2590;6.0;48
Norte;RR;2020-05-12;66.0;2656;6.0;54
Norte;RR;2020-05-13;166.0;2822;4.0;58
Norte;RR;2020-05-14;178.0;3000;16.0;74
Norte;RR;2020-05-15;178.0;3178;6.0;80
Norte;RR;2020-05-16;234.0;3412;18.0;98
Norte;RR;2020-05-17;170.0;3582;4.0;102
Norte;RR;2020-05-18;170.0;3752;18.0;120
Norte;RR;2020-05-19;218.0;3970;2.0;122
Norte;RR;2020-05-20;164.0;4134;6.0;128
Norte;RR;2020-05-21;158.0;4292;16.0;144
Norte;RR;2020-05-22;320.0;4612;20.0;164
Norte;RR;2020-05-23;136.0;4748;2.0;162
Norte;RR;2020-05-24;130.0;4878;6.0;168
Norte;RR;2020-05-25;150.0;5028;4.0;172
Norte;RR;2020-05-26;138.0;5166;32.0;204
Norte;PA;2020-03-19;1.0;1;0.0;0
Norte;PA;2020-03-20;1.0;2;0.0;0
Norte;PA;2020-03-21;0.0;2;0.0;0
Norte;PA;2020-03-22;2.0;4;0.0;0
Norte;PA;2020-03-23;1.0;5;0.0;0
Norte;PA;2020-03-24;0.0;5;0.0;0
Norte;PA;2020-03-25;2.0;7;0.0;0
Norte;PA;2020-03-26;6.0;13;0.0;0
Norte;PA;2020-03-27;0.0;13;0.0;0
Norte;PA;2020-03-28;21.0;34;0.0;0
Norte;PA;2020-03-29;2.0;36;0.0;0
Norte;PA;2020-03-30;6.0;42;0.0;0
Norte;PA;2020-03-31;22.0;64;0.0;0
Norte;PA;2020-04-01;17.0;81;2.0;2
Norte;PA;2020-04-02;11.0;92;0.0;2
Norte;PA;2020-04-03;8.0;100;0.0;2
Norte;PA;2020-04-04;60.0;160;0.0;2
Norte;PA;2020-04-05;12.0;172;0.0;2
Norte;PA;2020-04-06;32.0;204;4.0;6
Norte;PA;2020-04-07;73.0;277;4.0;10
Norte;PA;2020-04-08;57.0;334;2.0;12
Norte;PA;2020-04-09;2.0;336;2.0;14
Norte;PA;2020-04-10;4.0;340;4.0;18
Norte;PA;2020-04-11;94.0;434;2.0;20
Norte;PA;2020-04-12;58.0;492;6.0;26
Norte;PA;2020-04-13;48.0;540;4.0;30
Norte;PA;2020-04-14;106.0;646;8.0;38
Norte;PA;2020-04-15;122.0;768;4.0;42
Norte;PA;2020-04-16;108.0;876;6.0;48
Norte;PA;2020-04-17;238.0;1114;4.0;52
Norte;PA;2020-04-18;166.0;1280;14.0;66
Norte;PA;2020-04-19;90.0;1370;2.0;68
Norte;PA;2020-04-20;434.0;1804;2.0;70
Norte;PA;2020-04-21;248.0;2052;6.0;76
Norte;PA;2020-04-22;338.0;2390;10.0;86
Norte;PA;2020-04-23;144.0;2534;20.0;106
Norte;PA;2020-04-24;358.0;2892;44.0;150
Norte;PA;2020-04-25;432.0;3324;31.0;181
Norte;PA;2020-04-26;410.0;3734;19.0;200
Norte;PA;2020-04-27;522.0;4256;28.0;228
Norte;PA;2020-04-28;268.0;4524;30.0;258
Norte;PA;2020-04-29;320.0;4844;16.0;274
Norte;PA;2020-04-30;908.0;5752;142.0;416
Norte;PA;2020-05-01;600.0;6352;54.0;470
Norte;PA;2020-05-02;568.0;6920;76.0;546
Norte;PA;2020-05-03;806.0;7726;72.0;618
Norte;PA;2020-05-04;524.0;8250;42.0;660
Norte;PA;2020-05-05;694.0;8944;78.0;738
Norte;PA;2020-05-06;1090.0;10034;46.0;784
Norte;PA;2020-05-07;1014.0;11048;36.0;820
Norte;PA;2020-05-08;1234.0;12282;210.0;1030
Norte;PA;2020-05-09;1268.0;13550;126.0;1156
Norte;PA;2020-05-10;962.0;14512;148.0;1304
Norte;PA;2020-05-11;614.0;15126;112.0;1416
Norte;PA;2020-05-12;2106.0;17232;312.0;1728
Norte;PA;2020-05-13;2004.0;19236;164.0;1892
Norte;PA;2020-05-14;2498.0;21734;234.0;2126
Norte;PA;2020-05-15;2484.0;24218;164.0;2290
Norte;PA;2020-05-16;2150.0;26368;108.0;2398
Norte;PA;2020-05-17;1360.0;27728;80.0;2478
Norte;PA;2020-05-18;1740.0;29468;180.0;2658
Norte;PA;2020-05-19;3122.0;32590;380.0;3038
Norte;PA;2020-05-20;3680.0;36270;228.0;3266
Norte;PA;2020-05-21;3242.0;39512;438.0;3704
Norte;PA;2020-05-22;3426.0;42938;170.0;3874
Norte;PA;2020-05-23;2456.0;45394;128.0;4002
Norte;PA;2020-05-24;2856.0;48250;294.0;4296
Norte;PA;2020-05-25;3904.0;52154;448.0;4744
Norte;PA;2020-05-26;5046.0;57200;194.0;4938
Norte;AP;2020-03-20;1.0;1;0.0;0
Norte;AP;2020-03-21;0.0;1;0.0;0
Norte;AP;2020-03-22;0.0;1;0.0;0
Norte;AP;2020-03-23;0.0;1;0.0;0
Norte;AP;2020-03-24;0.0;1;0.0;0
Norte;AP;2020-03-25;0.0;1;0.0;0
Norte;AP;2020-03-26;1.0;2;0.0;0
Norte;AP;2020-03-27;0.0;2;0.0;0
Norte;AP;2020-03-28;6.0;8;0.0;0
Norte;AP;2020-03-29;0.0;8;0.0;0
Norte;AP;2020-03-30;8.0;16;0.0;0
Norte;AP;2020-03-31;4.0;20;0.0;0
Norte;AP;2020-04-01;2.0;22;0.0;0
Norte;AP;2020-04-02;0.0;22;0.0;0
Norte;AP;2020-04-03;16.0;38;0.0;0
Norte;AP;2020-04-04;18.0;56;2.0;2
Norte;AP;2020-04-05;2.0;58;2.0;4
Norte;AP;2020-04-06;10.0;68;0.0;4
Norte;AP;2020-04-07;28.0;96;0.0;4
Norte;AP;2020-04-08;118.0;214;0.0;4
Norte;AP;2020-04-09;42.0;256;0.0;4
Norte;AP;2020-04-10;76.0;332;0.0;4
Norte;AP;2020-04-11;54.0;386;2.0;6
Norte;AP;2020-04-12;74.0;460;4.0;10
Norte;AP;2020-04-13;24.0;484;0.0;10
Norte;AP;2020-04-14;130.0;614;2.0;12
Norte;AP;2020-04-15;54.0;668;2.0;14
Norte;AP;2020-04-16;56.0;724;4.0;18
Norte;AP;2020-04-17;16.0;740;2.0;20
Norte;AP;2020-04-18;46.0;786;0.0;20
Norte;AP;2020-04-19;46.0;832;2.0;22
Norte;AP;2020-04-20;34.0;866;4.0;26
Norte;AP;2020-04-21;48.0;914;0.0;26
Norte;AP;2020-04-22;44.0;958;2.0;28
Norte;AP;2020-04-23;138.0;1096;4.0;32
Norte;AP;2020-04-24;170.0;1266;4.0;36
Norte;AP;2020-04-25;104.0;1370;2.0;38
Norte;AP;2020-04-26;226.0;1596;4.0;42
Norte;AP;2020-04-27;88.0;1684;10.0;52
Norte;AP;2020-04-28;152.0;1836;4.0;56
Norte;AP;2020-04-29;196.0;2032;6.0;62
Norte;AP;2020-04-30;128.0;2160;6.0;68
Norte;AP;2020-05-01;82.0;2242;6.0;74
Norte;AP;2020-05-02;132.0;2374;6.0;80
Norte;AP;2020-05-03;590.0;2964;6.0;86
Norte;AP;2020-05-04;502.0;3466;12.0;98
Norte;AP;2020-05-05;396.0;3862;12.0;110
Norte;AP;2020-05-06;230.0;4092;2.0;112
Norte;AP;2020-05-07;306.0;4398;10.0;122
Norte;AP;2020-05-08;246.0;4644;10.0;132
Norte;AP;2020-05-09;342.0;4986;6.0;138
Norte;AP;2020-05-10;240.0;5226;6.0;144
Norte;AP;2020-05-11;116.0;5342;2.0;146
Norte;AP;2020-05-12;478.0;5820;26.0;172
Norte;AP;2020-05-13;190.0;6010;16.0;188
Norte;AP;2020-05-14;846.0;6856;14.0;202
Norte;AP;2020-05-15;404.0;7260;4.0;206
Norte;AP;2020-05-16;408.0;7668;10.0;216
Norte;AP;2020-05-17;236.0;7904;22.0;238
Norte;AP;2020-05-18;142.0;8046;16.0;254
Norte;AP;2020-05-19;574.0;8620;18.0;272
Norte;AP;2020-05-20;478.0;9098;12.0;284
Norte;AP;2020-05-21;1278.0;10376;18.0;302
Norte;AP;2020-05-22;934.0;11310;12.0;314
Norte;AP;2020-05-23;872.0;12182;10.0;324
Norte;AP;2020-05-24;524.0;12706;2.0;326
Norte;AP;2020-05-25;462.0;13168;10.0;336
Norte;AP;2020-05-26;766.0;13934;10.0;346
Norte;TO;2020-03-19;1.0;1;0.0;0
Norte;TO;2020-03-20;0.0;1;0.0;0
Norte;TO;2020-03-21;1.0;2;0.0;0
Norte;TO;2020-03-22;0.0;2;0.0;0
Norte;TO;2020-03-23;3.0;5;0.0;0
Norte;TO;2020-03-24;2.0;7;0.0;0
Norte;TO;2020-03-25;0.0;7;0.0;0
Norte;TO;2020-03-26;0.0;7;0.0;0
Norte;TO;2020-03-27;1.0;8;0.0;0
Norte;TO;2020-03-28;10.0;18;0.0;0
Norte;TO;2020-03-29;0.0;18;0.0;0
